Epoch:1
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 8,1,0,0,4485
Class 9,0,0,10,4476
Class 10,0,0,777,3709
Class 11,0,1,214,4271
Class 12,1315,581,1109,1481
Class 13,0,1,241,4244
Class 14,0,1,148,4337
Class 15,0,1,52,4433
Class 16,0,1,214,4271

Epoch:14
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,1,414,4071
Class 2,0,1,111,4374
Class 3,0,1,184,4301
Class 4,0,1,92,4393
Class 5,0,1,524,3961
Class 6,0,1,98,4387
Class 7,0,1,72,4413
Class 8,1,0,0,4485
Class 9,0,0,10,4476
Class 10,0,1,777,3708
Class 11,0,1,214,4271
Class 12,1261,545,1163,1517
Class 13,0,1,241,4244
Class 14,0,1,148,4337
Class 15,0,1,52,4433
Class 16,0,1,214,4271

Epoch:15
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,0,414,4072
Class 2,0,1,111,4374
Class 3,0,1,184,4301
Class 4,0,0,92,4394
Class 5,0,1,524,3961
Class 6,0,0,98,4388
Class 7,0,1,72,4413
Class 8,1,0,0,4485
Class 9,0,0,10,4476
Class 10,0,0,777,3709
Class 11,0,1,214,4271
Class 12,1261,564,1163,1498
Class 13,0,1,241,4244
Class 14,0,1,148,4337
Class 15,0,1,52,4433
Class 16,0,1,214,4271

Epoch:16
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,1,414,4071
Class 2,0,1,111,4374
Class 3,0,1,184,4301
Class 4,0,1,92,4393
Class 5,0,1,524,3961
Class 6,0,0,98,4388
Class 7,0,1,72,4413
Class 8,1,0,0,4485
Class 9,0,0,10,4476
Class 10,0,0,777,3709
Class 11,0,1,214,4271
Class 12,1334,552,1090,1510
Class 13,0,1,241,4244
Class 14,0,1,148,4337
Class 15,0,1,52,4433
Class 16,0,1,214,4271

Epoch:17
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,1,414,4071
Class 2,0,1,111,4374
Class 3,0,1,184,4301
Class 4,0,1,92,4393
Class 5,0,1,524,3961
Class 6,0,0,98,4388
Class 7,0,1,72,4413
Class 8,1,0,0,4485
Class 9,0,0,10,4476
Class 10,0,1,777,3708
Class 11,0,1,214,4271
Class 12,1288,450,1136,1612
Class 13,0,1,241,4244
Class 14,0,1,148,4337
Class 15,0,1,52,4433
Class 16,0,1,214,4271

Epoch:18
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,0,414,4072
Class 2,0,1,111,4374
Class 3,0,1,184,4301
Class 4,0,1,92,4393
Class 5,0,1,524,3961
Class 6,0,0,98,4388
Class 7,0,1,72,4413
Class 8,1,0,0,4485
Class 9,0,0,10,4476
Class 10,0,0,777,3709
Class 11,0,1,214,4271
Class 12,1360,502,1064,1560
Class 13,0,1,241,4244
Class 14,0,1,148,4337
Class 15,0,0,52,4434
Class 16,0,1,214,4271

Epoch:19
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,1,414,4071
Class 2,0,1,111,4374
Class 3,0,1,184,4301
Class 4,1,1,91,4393
Class 5,0,1,524,3961
Class 6,0,0,98,4388
Class 7,0,1,72,4413
Class 8,1,0,0,4485
Class 9,3,0,7,4476
Class 10,0,0,777,3709
Class 11,0,1,214,4271
Class 12,1435,524,989,1538
Class 13,0,1,241,4244
Class 14,0,1,148,4337
Class 15,0,1,52,4433
Class 16,0,2,214,4270

Epoch:20
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,0,414,4072
Class 2,0,1,111,4374
Class 3,0,0,184,4302
Class 4,0,0,92,4394
Class 5,0,1,524,3961
Class 6,0,0,98,4388
Class 7,0,0,72,4414
Class 8,1,0,0,4485
Class 9,0,1,10,4475
Class 10,0,0,777,3709
Class 11,0,1,214,4271
Class 12,1401,473,1023,1589
Class 13,0,0,241,4245
Class 14,0,1,148,4337
Class 15,1,0,51,4434
Class 16,0,0,214,4272

Epoch:21
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,1,414,4071
Class 2,0,1,111,4374
Class 3,0,1,184,4301
Class 4,0,2,92,4392
Class 5,0,1,524,3961
Class 6,0,1,98,4387
Class 7,0,1,72,4413
Class 8,1,0,0,4485
Class 9,4,1,6,4475
Class 10,1,3,776,3706
Class 11,0,1,214,4271
Class 12,1347,449,1077,1613
Class 13,0,1,241,4244
Class 14,0,1,148,4337
Class 15,1,1,51,4433
Class 16,0,2,214,4270

Epoch:22
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,0,414,4072
Class 2,0,0,111,4375
Class 3,0,0,184,4302
Class 4,0,1,92,4393
Class 5,1,0,523,3962
Class 6,0,0,98,4388
Class 7,0,0,72,4414
Class 8,0,0,1,4485
Class 9,2,2,8,4474
Class 10,0,1,777,3708
Class 11,0,0,214,4272
Class 12,1383,461,1041,1601
Class 13,0,0,241,4245
Class 14,0,1,148,4337
Class 15,2,0,50,4434
Class 16,0,0,214,4272

Epoch:23
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,0,414,4072
Class 2,0,0,111,4375
Class 3,0,0,184,4302
Class 4,1,0,91,4394
Class 5,1,2,523,3960
Class 6,0,0,98,4388
Class 7,0,0,72,4414
Class 8,0,0,1,4485
Class 9,0,0,10,4476
Class 10,0,0,777,3709
Class 11,0,0,214,4272
Class 12,792,377,1632,1685
Class 13,0,0,241,4245
Class 14,0,0,148,4338
Class 15,0,0,52,4434
Class 16,0,0,214,4272

Epoch:24
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,0,414,4072
Class 2,0,0,111,4375
Class 3,0,1,184,4301
Class 4,0,1,92,4393
Class 5,0,0,524,3962
Class 6,0,0,98,4388
Class 7,0,0,72,4414
Class 8,0,0,1,4485
Class 9,0,0,10,4476
Class 10,0,0,777,3709
Class 11,0,0,214,4272
Class 12,585,330,1839,1732
Class 13,0,0,241,4245
Class 14,0,0,148,4338
Class 15,0,0,52,4434
