Epoch:1
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 7,828,27,60,5438
Class 8,107,8,12,6226
Class 9,443,13,24,5873
Class 10,667,24,53,5609

Epoch:14
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1193,23,64,5073
Class 2,502,15,34,5802
Class 3,1100,24,54,5175
Class 4,88,2,7,6256
Class 5,125,5,12,6211
Class 6,88,2,8,6255
Class 7,813,42,75,5423
Class 8,111,5,8,6229
Class 9,441,11,26,5875
Class 10,670,31,50,5602

Epoch:15
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1189,35,68,5061
Class 2,500,19,36,5798
Class 3,1105,24,49,5175
Class 4,83,4,12,6254
Class 5,128,3,9,6213
Class 6,86,6,10,6251
Class 7,817,31,71,5434
Class 8,103,6,16,6228
Class 9,440,10,27,5876
Class 10,672,24,48,5609

Epoch:16
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1208,24,49,5072
Class 2,501,14,35,5803
Class 3,1100,29,54,5170
Class 4,87,1,8,6257
Class 5,126,3,11,6213
Class 6,84,7,12,6250
Class 7,816,31,72,5434
Class 8,108,6,11,6228
Class 9,441,10,26,5876
Class 10,681,20,39,5613

Epoch:17
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1195,31,62,5065
Class 2,503,18,33,5799
Class 3,1107,24,47,5175
Class 4,90,4,5,6254
Class 5,125,4,12,6212
Class 6,91,3,5,6254
Class 7,833,29,55,5436
Class 8,112,2,7,6232
Class 9,450,8,17,5878
Class 10,670,22,50,5611

Epoch:18
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1202,29,55,5067
Class 2,503,16,33,5801
Class 3,1105,23,49,5176
Class 4,87,1,8,6257
Class 5,127,3,10,6213
Class 6,94,0,2,6257
Class 7,817,35,71,5430
